municipio;ano_distribuicao;ano_calculo;codigo;valor_adicionado;pop;receita_tributaria;area_cultivada;area_inundada;ind_protegida;ind_participacao;total_icms_estado;montante_disponivel;total_recebido_municipio;valor_adicionado_2anos;share_valor_adicionado_2anos;share_pop;share_receita_tributaria;share_area_cultivada;share_area_inundada;ind_participacao_calculado;Codmun7;nota_ideb;matriculas_rede_publica;matriculas_rede_municipal;nota_ideb_imp_norm;evolucao_ideb;evolucao_ideb_norm;evolucao_e_nota;nota_ideb_2015;nota_ideb_2017;evolucao_e_nota_X_matriculas_municipal;share_nota;share_evolucao_e_nota;share_evolucao_e_nota_X_matriculas_municipal;ind25_nota;ind25_evolucao_e_nota;ind25_evolucao_e_nota_X_matriculas_municipal;ind10_nota;ind10_evolucao_e_nota;ind10_evolucao_e_nota_X_matriculas_municipal;transf25_nota;transf25_evolucao_e_nota;transf25_evolucao_e_nota_X_matriculas_municipal;transf10_nota;transf10_evolucao_e_nota;transf10_evolucao_e_nota_X_matriculas_municipal;var_transf25_nota;var_transf25_evolucao_e_nota;var_transf25_evolucao_e_nota_X_matriculas_municipal;var_transf10_nota;var_transf10_evolucao_e_nota;var_transf10_evolucao_e_nota_X_matriculas_municipal;var_perc_transf25_nota;var_perc_transf25_evolucao_e_nota;var_perc_transf25_evolucao_e_nota_X_matriculas_municipal;var_perc_transf10_nota;var_perc_transf10_evolucao_e_nota;var_perc_transf10_evolucao_e_nota_X_matriculas_municipal;receitas_correntes_2018;receitas_correntes_2017;IDH;IDHM_renda;IDHM_longevidade;IDHM_educacao;area_geografica;regiao_metrop;pop_urbana;idosos_sobre_jovens;fracao_pop_abaixo_15;receitas2018_pc;receitas2017_pc;var_perc_rc2018_25_nota;var_perc_rc2018_25_evolucao_e_nota;var_perc_rc2018_25_evolucao_e_nota_X_matriculas_municipal;var_perc_rc2018_10_nota;var_perc_rc2018_10_evolucao_e_nota;var_perc_rc2018_10_evolucao_e_nota_X_matriculas_municipal;quintil_area_geografica;quintil_fracao_pop_abaixo_15;quintil_IDH;quintil_idosos_sobre_jovens;quintil_pop;quintil_pop_urbana;quintil_receitas_correntes_2018;quintil_receitas2017_pc;quintil_receitas2018_pc;quintil_var_perc_transf25_nota;quintil_var_perc_transf25_evolucao_e_nota;quintil_var_perc_transf25_evolucao_e_nota_X_matriculas_municipal;quintil_var_perc_transf10_nota;quintil_var_perc_transf10_evolucao_e_nota;quintil_var_perc_transf10_evolucao_e_nota_X_matriculas_municipal;quintil_ben_var_perc_transf25_nota;quintil_ben_var_perc_transf25_evolucao_e_nota;quintil_ben_var_perc_transf25_evolucao_e_nota_X_matriculas_municipal;quintil_ben_var_perc_transf10_nota;quintil_ben_var_perc_transf10_evolucao_e_nota;quintil_ben_var_perc_transf10_evolucao_e_nota_X_matriculas_municipal;quintil_prej_var_perc_transf25_nota;quintil_prej_var_perc_transf25_evolucao_e_nota;quintil_prej_var_perc_transf25_evolucao_e_nota_X_matriculas_municipal;quintil_prej_var_perc_transf10_nota;quintil_prej_var_perc_transf10_evolucao_e_nota;quintil_prej_var_perc_transf10_evolucao_e_nota_X_matriculas_municipal;faixa_pop;nota_imputada
SAO MIGUEL ARCANJO;2018;2016;650;329077491;31450;4860140;74155.2;1.08;0.472893;0.05356417;135942.42525178;27188.485050356;14.5632863527973;646426338;0.000329585210021119;0.000762198834822158;0.000109734770089141;0.00416432466270808;0.000196745322288877;0.0535623215078059;3550209;NA;2398;2398;0.61764705882353;0.8;0.538461538461538;1.15610859728507;6.7;6.6;2772.34841628959;0.00199089504161469;0.00193086329325113;0.00169431030381723;0.0744912667919511;0.0729904730828623;0.0670766483470147;0.0544296635282306;0.0538293460445951;0.0514638161502561;20.2530469355504;19.8450038623181;18.237124508108;14.798600931332;14.6353837020391;13.9922319603551;5.68976058275315;5.28171750952085;3.67383815531069;0.235314578534771;0.0720973492418526;-0.571054392442212;0.390692076288143;0.362673464049984;0.252267109655853;0.0161580685041994;0.00495062360893593;-0.0392119181487169;86.17608935;78.1112409;0.71;0.708;0.799;0.633;930.339;Sorocaba;68.37;0.629068462401796;17.82;0.00274009823052464;0.00248366425755167;0.0660248176224899;0.0612898258595771;0.0426317576374298;0.00273062493679717;0.00083662823163201;-0.00662659905722691;1;1;5;5;2;5;2;5;5;3;4;1;4;4;2;4;4;1;5;5;NA;NA;NA;NA;NA;NA;1;20 mil a 50 mil;FALSE
SAO PAULO;2018;2016;100;190973368854;11253503;22375143212;2404.07;37.27;2.274405;20.79733984;135942.42525178;27188.485050356;5654.48163327013;379447424674;0.193464052748966;0.272731538132517;0.505197627245392;0.000135005070337301;0.00678953533491337;20.7930387239434;3550308;NA;561601;246605;0.352941176470588;1;0.58974358974359;0.942684766214178;5.8;6;232470.776772247;0.00113765430949411;0.00157441560115063;0.14207364056671;14.5382453139098;14.5491643462012;18.0616449703402;19.1933187940373;19.1976864069539;20.6026786566095;3952.72865375645;3955.69737321864;4910.68764260932;5218.37261098401;5219.56009876889;5601.55620652516;-1701.75297951369;-1698.78426005149;-743.793990660814;-436.109022286127;-434.921534501248;-52.9254267449769;-0.300956496082828;-0.30043147546118;-0.131540614843355;-0.0771262602959263;-0.0769162520472671;-0.00935990780013707;52983.57743967;50970.74152199;0.805;0.843;0.855;0.725;1521.11;São Paulo;99.1;0.824221453287197;14.45;0.00470818530369344;0.00452932224943558;-0.03211849900946;-0.0320624680729764;-0.0140381987514478;-0.00823102258020807;-0.00820861020561463;-0.000998902477003194;1;4;1;3;1;1;1;2;2;5;5;3;5;5;2;NA;NA;NA;NA;NA;NA;5;5;2;4;4;1;Mais de 500 mil;FALSE
SAO PEDRO;2018;2016;651;290642664;31662;17098849;49938.45;18.12;0.395876;0.04881216;135942.42525178;27188.485050356;13.2712868243559;561786621;0.000286431029469192;0.0007673367093208;0.000386066710795149;0.0028043875406231;0.00330094929618004;0.0488182614785625;3550407;NA;2164;2164;0.411764705882353;0.3;0.41025641025641;0.822021116138763;6;6.2;1778.85369532428;0.00132726336107646;0.00137289040420335;0.00108713974306484;0.0546639112371008;0.0558045873152731;0.0486608207868105;0.0453118364644518;0.0457681068957207;0.0429106002843357;14.862289334639;15.1724218796259;13.2301399850025;12.3196018831792;12.443654901174;11.6667421433246;1.59100251028318;1.90113505527004;-0.0411468393533614;-0.951684941176611;-0.827631923181865;-1.60454468103123;0.119883062685626;0.143251749467205;-0.00310044081617221;-0.0717100725628242;-0.0623625978501927;-0.120903473963544;134.52905196;122.71200812;0.755;0.741;0.863;0.674;611.278;NA;84.03;1.0589417280643;14.93;0.00424891200682206;0.00387568719979787;0.0118264604344067;0.0141317806642636;-0.000305858390837361;-0.00707419644538622;-0.00615206835344345;-0.0119271239754839;1;3;2;2;2;4;2;3;3;4;4;2;5;5;3;5;5;NA;NA;NA;NA;NA;NA;1;4;4;2;20 mil a 50 mil;FALSE
SAO PEDRO DO TURVO;2018;2016;652;197383908;7198;1104159;61880.2;0;0;0.02999119;135942.42525178;27188.485050356;8.15415020957387;363667636;0.000185418611747444;0.000174445380383144;2.49302764955033e-05;0.00347499896154698;0;0.0300100278987035;3550506;NA;540;540;0.5;-0.5;0.205128205128205;0.705128205128205;6.3;7.5;380.769230769231;0.00161167693844998;0.00117766286966067;0.00023270568276274;0.0541983193423079;0.0433479676225751;0.0197240379501268;0.0322660582115862;0.0279259175236931;0.0184763456547137;14.7357019519276;11.785655696697;5.36266710939676;8.77265241319627;7.59263391110403;5.02343847618394;6.58155174235372;3.63150548712312;-2.79148310017711;0.618502203622409;-0.561516298469832;-3.13071173338992;0.807141341917673;0.445356707172175;-0.342338935196411;0.0758512153597833;-0.0688626385384157;-0.38394089548585;30.69645727;28.80983386;0.703;0.661;0.826;0.636;731.221;NA;71.55;0.817913965822039;16.97;0.00426458144901362;0.0040024776132259;0.214407535190908;0.118303733071902;-0.0909382824090667;0.020148976742892;-0.0182925441047104;-0.101989350297098;1;1;5;3;4;5;4;3;3;3;3;4;3;5;4;3;4;NA;4;NA;NA;NA;NA;4;NA;4;4;Até 20 mil;FALSE
SAO ROQUE;2018;2016;653;1249760405;78821;43255771;2394.2;0;0.184259;0.12587847;135942.42525178;27188.485050356;34.2244489975669;2369129346;0.00120791797482207;0.00191024719744093;0.000976651307516558;0.000134450801932375;0;0.125943658790388;3550605;NA;4716;4716;0.323529411764706;0.100000000000001;0.358974358974359;0.682503770739065;5.7;5.9;3218.68778280543;0.00104284978370293;0.00113987689523306;0.00196708892833773;0.116665092704228;0.119090770492482;0.139771071320098;0.127342064185487;0.128312335300789;0.136584455631835;31.7194712888731;32.3789763317021;38.0016368305873;34.622378083886;34.8861801010176;37.1352443005717;-2.50497770869376;-1.84547266586475;3.77718783302047;0.397929086319131;0.661731103450734;2.91079530300483;-0.0731926380720358;-0.0539226406828626;0.11036519048967;0.0116270414272388;0.0193350403829081;0.0850501728519212;267.7962485;251.64646227;0.768;0.765;0.863;0.687;306.908;Sorocaba;90.7;0.824503311258278;15.1;0.00339752411793811;0.00319263219535403;-0.0093540433173535;-0.00689133128713248;0.0141047077925009;0.00148593973421226;0.00247102454630067;0.010869440178154;3;3;1;3;1;3;1;4;4;5;5;1;4;4;1;NA;NA;3;5;5;3;2;2;NA;NA;NA;NA;50 mil a 100 mil;FALSE
SAO SEBASTIAO;2018;2016;654;2815846789;73942;200118681;1143.2;0;1.999241;0.23696655;135942.42525178;27188.485050356;64.4276150210944;4607631486;0.00234923471050344;0.00179200337820095;0.0045183837194149;6.41985451378713e-05;0;0.23771937634116;3550704;NA;5607;5607;0.323529411764706;0.3;0.41025641025641;0.733785822021116;5.7;6.1;4114.3371040724;0.00104284978370293;0.00122552510393565;0.00251446164120205;0.202263847880331;0.206830730886149;0.239054144317809;0.220317102650836;0.222143855853164;0.235033221225828;54.9924760432187;56.2341423465228;64.995200290104;59.9008825176002;60.3975490389218;63.9019722163543;-9.43513897787571;-8.19347267457162;0.567585269009626;-4.52673250349422;-4.03006598217259;-0.525642804740095;-0.146445572675421;-0.127173304054309;0.00880965823154857;-0.0702607492456784;-0.062551841797234;-0.00815865688289086;971.20265085;642.3102283;0.772;0.747;0.875;0.703;402.395;Vale do Paraíba e Litoral Norte;98.87;0.467963386727689;17.48;0.0131346548761191;0.00868667642611777;-0.00971490241466911;-0.00843641918337091;0.000584414868012226;-0.0046609556713343;-0.00414956237881504;-0.00054122875826178;2;1;1;5;1;1;1;1;1;5;5;2;5;5;2;NA;NA;5;NA;NA;NA;4;4;NA;4;4;1;50 mil a 100 mil;FALSE
SAO SEBASTIAO DA GRAMA;2018;2016;655;166260482;12099;3081828;22938.1;0;0;0.0234202;135942.42525178;27188.485050356;6.36759757576348;317468581;0.000161863684681721;0.000293222375278642;6.95831163370349e-05;0.00128813212756036;0;0.0234266180725978;3550803;NA;669;669;0.382352941176471;0.100000000000001;0.358974358974359;0.74132730015083;5.9;7.2;495.947963800905;0.00123245883528528;0.00123812042874486;0.000303096732101827;0.0429512472332611;0.0430927870697505;0.0197171946536747;0.0283036021858075;0.0283602181204032;0.0190099811539729;11.6777934329567;11.7162759702409;5.36080652076395;7.69532064900051;7.71071366391419;5.16852588412343;5.31019585719318;5.34867839447738;-1.00679105499953;1.32772307323703;1.34311608815071;-1.19907169164005;0.833940241042397;0.839983734970261;-0.158111602220531;0.208512403216348;0.210929800787493;-0.188308334088823;35.30678113;33.46669332;0.701;0.689;0.82;0.609;252.41;NA;65.88;0.848366013071895;15.3;0.00291815696586495;0.00276607102405157;0.150401585396329;0.151491532880992;-0.0285155152290013;0.0376053276663296;0.038041306660195;-0.0339615125838023;3;3;5;3;3;5;3;5;5;3;3;3;3;3;3;3;3;NA;3;3;NA;NA;NA;2;NA;NA;2;Até 20 mil;FALSE
SAO SIMAO;2018;2016;656;288972617;14346;7570691;44581.7;0;0.146755;0.03893611;135942.42525178;27188.485050356;10.5861384465402;573177747;0.000292238878615163;0.000347678997912835;0.00017093500111127;0.00250356917404919;0;0.0389299144691217;3550902;NA;836;643;0.323529411764706;0.9;0.564102564102564;0.88763197586727;5.7;5.6;570.747360482655;0.00104284978370293;0.00148246973004343;0.000348810101955539;0.0479891604887105;0.0589796591472231;0.0306381684450257;0.0371197387098552;0.0415159381732602;0.0301793418923813;13.0475257252644;16.0356758099937;8.33005384737871;10.0922946098602;11.2875546437519;8.20530585870591;2.46138727872425;5.44953736345352;-2.25608459916145;-0.49384383667998;0.701416197211728;-2.38083258783426;0.232510399439249;0.514780473632911;-0.213116861313939;-0.0466500451674502;0.0662579845100145;-0.224900949468725;56.47326307;53.71090191;0.766;0.732;0.852;0.722;617.252;Ribeirão Preto;90.12;0.937216828478964;15.45;0.00393651631604628;0.00374396360727729;0.0435850019091919;0.0964976533532104;-0.0399496058225816;-0.008744737063765;0.0124203235138424;-0.0421585801564744;1;3;2;3;3;3;3;3;3;4;3;4;5;3;3;5;4;NA;NA;4;NA;NA;NA;3;3;NA;3;Até 20 mil;FALSE
SAO VICENTE;2018;2016;657;1751095595;332445;207843708;107.4;0;0.878388;0.27226813;135942.42525178;27188.485050356;74.0255798219338;3522082389;0.00179575954080362;0.00805689003632598;0.00469280339904911;6.03124890466006e-06;0;0.272192121509071;3551009;NA;20330;19701;0.205882352941176;0;0.333333333333333;0.53921568627451;5.3;5.8;10623.0882352941;0.000663631680538229;0.000900565723858161;0.0064922604062542;0.151272757573728;0.157196108656726;0.296988475716627;0.253761416317352;0.256130756750551;0.312047703574511;41.1287710781942;42.7392405018753;80.7466673214953;68.9938847390148;69.6380725084873;84.8410432363352;-32.8968087437397;-31.2863393200586;6.72108749956141;-5.03169508291904;-4.38750731344659;10.8154634144014;-0.444397853051227;-0.422642273053677;0.0907941216499589;-0.0679723832629562;-0.059270151263936;0.146104406617518;938.26662934;895.44368642;0.768;0.738;0.857;0.716;148.1;Baixada Santista;99.81;0.706031746031746;15.75;0.002822321374483;0.00269350926144174;-0.0350612584046393;-0.0333448279430615;0.00716330229530724;-0.00536275609253892;-0.00467618390790779;0.0115270681874397;4;2;1;4;1;1;1;5;5;5;5;2;5;5;1;NA;NA;3;NA;NA;1;5;5;NA;3;4;NA;250 mil a 500 mil;FALSE
SARAPUI;2018;2016;658;150190820;9027;1778707;24222.4;0;0;0.02103505;135942.42525178;27188.485050356;5.71911142458491;279264149;0.000142384874793783;0.000218771665562468;4.01605722676601e-05;0.00136025440845659;0;0.0210476234171461;3551108;NA;676;676;0.441176470588235;1.1;0.615384615384615;1.05656108597285;6.1;5.9;714.235294117647;0.00142206788686763;0.00176460500576963;0.000436502212731639;0.0462305627812246;0.0547939907537744;0.0215914209278247;0.0277345917284101;0.03115996291743;0.0178789349870501;12.5693896504687;14.8976559845834;5.87038025112107;7.54061532585605;8.47192185950194;4.861011566117;6.85027822588378;9.1785445599985;0.151268826536154;1.82150390127114;2.75281043491703;-0.858099858467912;1.19778715910942;1.6048899695401;0.0264497078839714;0.318494214580431;0.481335338752702;-0.150040765909748;28.99210398;27.1166844;0.707;0.699;0.814;0.621;352.592;Sorocaba;73.62;0.685052399338114;18.13;0.00321170975739448;0.003003953074111;0.236280824275789;0.31658773596874;0.00521758705889389;0.0628275858326009;0.0949503505097814;-0.0295977090541572;2;1;5;4;3;5;4;5;4;2;2;2;2;2;3;3;2;5;3;2;NA;NA;NA;NA;NA;NA;2;Até 20 mil;FALSE
