municipio;nota_imputada;var_transf_secretaria;var_perc_transf_secretaria;var_transf_perc_rc2017_secretaria;pop;receitas_correntes_2017
BALSAMO;FALSE;-0,163629350938176;-0,0363265757513493;-0,00675176893037666;8160;24,2350342
BANANAL;FALSE;-1,1136576907136;-0,236802966247508;-0,0336812147578977;10223;33,06465336
BARAO DE ANTONINA;FALSE;-1,16238274626753;-0,400319100702215;-0,0738510647972699;3116;15,73955297
BARBOSA;FALSE;-0,59260974404939;-0,115376982203432;-0,0259578691791805;6593;22,82967604
BARIRI;FALSE;-0,537038098947331;-0,0283353564667961;-0,0052977888713358;31593;101,37023426
BARRA BONITA;FALSE;0,315397792439725;0,010690663920966;0,00282045642425411;35246;111,82508963
BARRA DO CHAPEU;FALSE;-1,26306286478274;-0,452140430295085;-0,087988094223619;5244;14,35492922
BARRA DO TURVO;FALSE;-6,39094366369938;-0,745518136379355;-0,188900836113429;7729;33,83226774
BARRETOS;FALSE;3,77111751502273;0,063645706838389;0,00749015264610477;112101;503,4767238
BARRINHA;FALSE;3,428235855462;0,422272525720737;0,0429941241669507;28496;79,73731113
BARUERI;FALSE;40,8861792405472;0,0716946426702341;0,0157373907253686;240749;2598,02784045
BASTOS;TRUE;-2,20894862706021;-0,11801308344753;-0,0372899499332225;20445;59,23710359
BATATAIS;FALSE;-2,52382416255164;-0,0748625209789694;-0,0147923835221872;56476;170,61646345
BAURU;FALSE;-12,7093058759808;-0,0829541453320736;-0,0115695309254967;343937;1098,51522571
BEBEDOURO;FALSE;1,47711997840013;0,0306878613370859;0,00582721237008953;75035;253,48655319
BENTO DE ABREU;TRUE;-1,68557317508447;-0,293503701135232;-0,0918214559855702;2674;18,35707305
BERNARDINO DE CAMPOS;FALSE;-1,09123250583611;-0,164737348734009;-0,0340930547275151;10775;32,00747233
BERTIOGA;FALSE;3,26482058156849;0,155558681302691;0,00825344395439222;47645;395,57069747
BILAC;FALSE;-0,00693377137907625;-0,00155617352846393;-0,000252374620619601;7048;27,47412304
BIRIGUI;FALSE;7,77243450561664;0,158561642075061;0,0223861283178974;108728;347,19869355
BIRITIBA-MIRIM;FALSE;0,523610138183185;0,0607925470825133;0,00781883912752634;28575;66,96775949
BOA ESPERANCA DO SUL;FALSE;-3,15141873514079;-0,337049922402209;-0,0612908508169667;13645;51,41744148
BOCAINA;FALSE;-1,21162294347481;-0,128158322254278;-0,0319563890532391;10859;37,91488899
BOFETE;FALSE;-1,81384476840845;-0,247721807511195;-0,0477819686811386;9618;37,96086303
BOITUVA;FALSE;5,62819291189883;0,131733455421794;0,0289133700567027;48314;194,65710503
BOM JESUS DOS PERDOES;FALSE;1,68894784866135;0,142524817401993;0,0224340160237077;19708;75,2851316
BOM SUCESSO DE ITARARE;FALSE;-0,102058835978028;-0,0416579055912019;-0,00621472470458819;3571;16,42210087
BORA;TRUE;-1,24771359743236;-0,428398540822228;-0,0990878332088187;805;12,59199598
BORACEIA;FALSE;-0,614847048893716;-0,091641499420875;-0,0258575736539516;4268;23,77821899
BORBOREMA;TRUE;-3,48573260624807;-0,302436761103984;-0,074538168324638;14529;46,76439849
BOREBI;FALSE;-1,71695186930747;-0,417129635450674;-0,0926514066623472;2293;18,53130925
BOTUCATU;FALSE;3,8361331010271;0,0542840428376032;0,0101953974919784;127328;376,26125946
BRAGANCA PAULISTA;FALSE;6,82148786339455;0,0908178903727866;0,0146692531315469;146744;465,01943911
BRAUNA;FALSE;-0,840775189864169;-0,258554919413057;-0,0416572446589781;5021;20,18316854
BREJO ALEGRE;FALSE;-0,848926141774134;-0,129779327955807;-0,0419679217364914;2573;20,22797667
BRODOWSKI;FALSE;0,937478146478243;0,0934263030226936;0,0127107974257295;21107;73,7544715
BROTAS;FALSE;-2,88681980232266;-0,132174049204401;-0,0313451247597682;21580;92,09788841
BURI;FALSE;-1,32871832240868;-0,0942882857673522;-0,019170266395791;18563;69,3114167
BURITAMA;FALSE;1,17053396396664;0,0790248762906047;0,0159873672531254;15418;73,21618034
BURITIZAL;FALSE;-1,22778528565263;-0,142344013395595;-0,0469237424829721;4053;26,16554479
CABRALIA PAULISTA;FALSE;-1,26025793024826;-0,376851305768774;-0,0674723223822868;4365;18,67814662
CABREUVA;FALSE;4,68802155650899;0,0559491040303429;0,0231117025649614;41604;202,8418955
CACAPAVA;FALSE;6,20388230025018;0,121673843416333;0,0253854138471841;84752;244,38767623
CACHOEIRA PAULISTA;FALSE;-1,26916396682283;-0,146725261365849;-0,0144815065690852;30091;87,6403267
CACONDE;FALSE;-0,652213449677083;-0,0716555405462433;-0,0128438256432564;18538;50,78031015
