municipio;simulacao;dados_imputados;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;pop;receitas_correntes_2018
SOCORRO;sim_alt4;FALSE;1,485503876738;0,103324758024023;0,0135071674245536;36686;109,97893415
SOROCABA;sim_alt4;FALSE;-14,1561993450122;-0,0339919664271134;-0,00508363227519617;586625;2784,66233958
SUD MENNUCCI;sim_alt4;FALSE;-0,576857699708818;-0,0538072810523687;-0,014254546182093;7435;40,46833146
SUMARE;sim_alt4;FALSE;-4,03212104545932;-0,0215588092728053;-0,00565654794013537;241311;712,82363168
SUZANAPOLIS;sim_alt4;TRUE;1,19762277516675;0,166805378923294;0,0423561604485636;3383;28,27505521
SUZANO;sim_alt4;FALSE;-4,24288873855787;-0,0259308123787682;-0,00541219848758782;262480;783,94921182
TABAPUA;sim_alt4;FALSE;1,84559954910896;0,274165877911125;0,0437389838669109;11363;42,19575733
TABATINGA;sim_alt4;FALSE;1,6776777920766;0,233379084229547;0,036318977060797;14686;46,19287017
TABOAO DA SERRA;sim_alt4;FALSE;-3,3276307291238;-0,0247834533619084;-0,00436747648572289;244528;761,91153862
TACIBA;sim_alt4;FALSE;-0,42800402499882;-0,0259734644422386;-0,0103503988185741;5714;41,35145249
TAGUAI;sim_alt4;FALSE;3,08193298256627;0,522984349855222;0,0807940874846389;10828;38,14552622
TAIACU;sim_alt4;FALSE;2,39663508950969;0,778206258202594;0,108342039722123;5894;22,12100765
TAIUVA;sim_alt4;TRUE;2,02425203349002;0,575790628689343;0,0928478582308974;5447;21,80181721
TAMBAU;sim_alt4;FALSE;-0,229049635378987;-0,0164019084178236;-0,00279710212976846;22406;81,88819169
TANABI;sim_alt4;FALSE;-0,391588379267287;-0,0228354384132846;NA;24055;NA
TAPIRAI;sim_alt4;FALSE;1,6822775063581;0,327519197220783;0,0667586492101891;8012;25,19939403
TAPIRATIBA;sim_alt4;FALSE;1,69113654447009;0,271748187639757;0,0371292920201465;12737;45,5472338
TAQUARAL;sim_alt4;TRUE;1,43748458436351;0,715327621951253;0,0905102940012402;2726;15,88200105
TAQUARITINGA;sim_alt4;FALSE;0,0317381007125661;0,00142900125708346;0,000178507663984687;53988;177,79685199
TAQUARITUBA;sim_alt4;FALSE;0,818218022947161;0,0579595950463525;0,010196390358147;22291;80,24585115
TAQUARIVAI;sim_alt4;FALSE;0,367173159967062;0,0660148172230841;0,0137309628578031;5151;26,74052532
TARABAI;sim_alt4;FALSE;2,70269509332608;0,729188888005549;NA;6607;NA
TARUMA;sim_alt4;FALSE;1,55999588095664;0,0857894978748896;0,0221259916879935;12885;70,50512822
TATUI;sim_alt4;FALSE;-1,39476898338329;-0,0270949105220504;-0,00415053441170071;107326;336,04563775
TAUBATE;sim_alt4;FALSE;-5,48939502141735;-0,02897852311708;-0,0050538170520979;278686;1086,18791793
TEJUPA;sim_alt4;FALSE;0,950670471235431;0,231321277492607;0,0452198948727857;4809;21,02327911
TEODORO SAMPAIO;sim_alt4;FALSE;-2,70440864829801;-0,151207465988031;-0,034660656369209;21386;78,02531549
TERRA ROXA;sim_alt4;FALSE;2,48428004184621;0,508540694920462;0,0824379905738413;8505;30,13513581
