municipio;simulacao;nota_imputada;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;var_transf_por_hab_abaixo_15anos;pop;receitas_correntes_2018
SANTA SALETE;sim_25_evolucao_e_nota;TRUE;9,22417218279273;5,34092969267279;0,633428976631013;54577,8002124893;1447;14,56228326
BALBINOS;sim_25_evolucao_e_nota;TRUE;10,3123146861379;4,47168645191844;0,777881605939309;54619,7322387364;3702;13,2569206
SAO JOAO DE IRACEMA;sim_25_evolucao_e_nota;FALSE;12,9479623427729;4,91658367367994;25,6363778939272;57007,3365801349;1780;0,50506208
LOURDES;sim_25_evolucao_e_nota;FALSE;15,4200885398555;7,03733633878347;1,00685927429592;57328,182029895;2128;15,31503849
BORA;sim_25_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,32621385104367;-0,455351356092069;-0,0925288607105306;-13492,7978903726;805;14,33297504
URU;sim_25_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,92098406606805;-0,610737475546173;-0,137293205598071;-11571,6564115282;1251;13,99183636
ZACARIAS;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;-3,09780042858712;-0,515729518958576;-0,134388134450067;-9769,37500539944;2335;23,05114541
NOVA CASTILHO;sim_25_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,52246078445674;-0,545216101401858;-0,0951144059111753;-9281,88254507993;1125;16,00662665
SANTANA DA PONTE PENSA;sim_25_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,42235148600303;-0,699254037670833;-0,100982215250567;-8270,60095316942;1641;14,08516819
TIMBURI;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;-3,27533809640315;-0,813191125855179;-0,16548788766808;-8192,22425919461;2646;19,79201102
MARABA PAULISTA;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;-4,20586557957518;-0,603127906741501;NA;-7817,86139075235;4812;NA
BALBINOS;sim_25_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,45489113290443;-0,630878436707358;-0,109745783112288;-7705,90953964698;3702;13,2569206
SANTO ANTONIO DO ARACANGUA;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;-8,52176826020488;-0,524008469484194;-0,180497689116022;-7514,87827647716;7626;47,21261697
FLORA RICA;sim_25_evolucao_e_nota_X_matriculas_municipal;TRUE;-1,82922386765856;-0,726991544461495;-0,117944325477622;-7436,44978656285;1752;15,50921471
INDAIATUBA;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;34,6850552059943;0,191248109050281;0,0319321713790022;1174,28444746583;201619;1086,21035489
JAGUARIUNA;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;7,65223688958039;0,0524900810220185;0,0196755263210634;1177,99347394275;44311;388,92158536
CAPELA DO ALTO;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;3,74017605533449;0,514103003120156;0,0613565490284324;1186,50861572003;17532;60,95805769
MONTE MOR;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;9,91789353823147;0,221847836889807;0,0451571407720401;1198,91643509063;48949;219,63068008
CLEMENTINA;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;1,21309356464428;0,196270755557006;0,0401511151765551;1202,41372593057;7065;30,2131973
IRACEMAPOLIS;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;3,56483418428266;0,182634622721434;0,0427802807730827;1225,78259604932;20029;83,32891042
ITATIBA;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;18,2758115814943;0,261089589915648;0,0490080652786544;1236,16140421309;101471;372,91436578
SERRANA;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;8,35518600620812;0,610099079495372;0,0682731008573656;1278,45219719009;38878;122,3788857
MONGAGUA;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;9,90163583080477;0,746833167887325;0,0439449883887983;1308,19916179489;46293;225,31888604
DUMONT;sim_25_evolucao_e_nota_X_matriculas_municipal;FALSE;3,22122731340617;0,590417050281874;0,0984652962730722;2519,63298820695;8143;32,71434135
RIBEIRAO DOS INDIOS;sim_25_nota;TRUE;-1,78219053284219;-0,759172520854666;-0,108748965280908;-5604,55251345228;2187;16,38811485
BARRA DO TURVO;sim_25_nota;FALSE;-4,89274285604735;-0,570749599396781;-0,137306650528753;-3037,60549361004;7729;35,63369172
BARUERI;sim_25_nota;FALSE;-48,2883134714998;-0,0846744167294096;-0,0164266005305191;-1184,03390739152;240749;2939,64130812
SANTOS;sim_25_nota;FALSE;-57,9499843571289;-0,242859425424461;-0,0229148494783055;-1184,00637539344;419400;2528,92712265
BOA ESPERANCA DO SUL;sim_25_nota;FALSE;-2,68316957931205;-0,286969829941907;-0,0519818924935696;-1160,12524899157;13645;51,61738926
SAO PAULO;sim_25_nota;FALSE;-1701,75297951369;-0,300956496082828;-0,03211849900946;-1046,50411773724;11253503;52983,57743967
ITAI;sim_25_nota;FALSE;-3,99551919801498;-0,180035855175328;-0,043347099273258;-1037,55917551978;24008;92,17500744
CAMPINAS;sim_25_nota;FALSE;-141,25247119711;-0,195508477597934;-0,0292813521204338;-978,12746578537;1080113;4823,9736545
PAULINIA;sim_25_nota;FALSE;-11,1092459891368;-0,0137363696696639;-0,00731075483525279;-877,597795806336;82146;1519,57578109
RIBEIRAO PRETO;sim_25_nota;FALSE;-68,9696510424889;-0,174590142618819;-0,0262913084857661;-840,525977012546;604682;2623,28712471
