municipio;simulacao;nota_imputada;var_transf_total;var_transf_perc_cota2018;var_transf_perc_rc2018;var_transf_por_hab_abaixo_15anos;pop;receitas_correntes_2018
ARIRANHA;sim_25_nota;FALSE;13,7687436387029;0,765383364421121;0,31243615211715;11352,6752408235;8547;44,06898352
ARTUR NOGUEIRA;sim_25_nota;FALSE;6,37235848011802;0,346335032341957;0,0420897858155676;899,850695619878;44177;151,39916625
ARUJA;sim_25_nota;FALSE;-1,28693357908239;-0,0194185018100777;-0,00429057105440257;-96,9028586111226;74905;299,94459077
ASPASIA;sim_25_nota;TRUE;9,2231368818914;5,49847517262935;93,8100989745568;38889,9509651142;1809;0,0983171
ASSIS;sim_25_nota;FALSE;-0,407922019489142;-0,0116294489562774;-0,00116004723129492;-32,6287456073266;95144;351,64259565
ATIBAIA;sim_25_nota;FALSE;-2,72223142469095;-0,0356647376146932;-0,005346378097155;-139,80564603329;126603;509,17300932
AURIFLAMA;sim_25_nota;FALSE;10,7729536082953;1,22786250706252;0,241889585893171;5880,24702727497;14202;44,53665737
AVAI;sim_25_nota;FALSE;5,73827404066819;1,0108801899745;0,250226652120046;6920,71401842982;4959;22,93230554
AVANHANDAVA;sim_25_nota;FALSE;6,38450681511265;0,869837124036786;0,160989430779485;3753,3314139675;11310;39,65792527
AVARE;sim_25_nota;FALSE;-5,04379722843429;-0,123167797291663;-0,0166797372557688;-412,598384083471;82934;302,39068824
BADY BASSITT;sim_25_nota;FALSE;10,7297380075663;1,3888334941203;0,171235917542303;5046,44631558393;14603;62,66055721
BALBINOS;sim_25_nota;TRUE;14,2910478123601;6,19696807469929;1,07800659320235;75693,3073397531;3702;13,2569206
BALSAMO;sim_25_nota;FALSE;9,32344303428194;2,06985334664195;0,347599919006243;9380,77835156672;8160;26,82233949
BANANAL;sim_25_nota;FALSE;3,14355120656903;0,668430035974056;0,0889014632506689;1919,46265359208;10223;35,359949
BARAO DE ANTONINA;sim_25_nota;FALSE;6,51510833002584;2,24377238566924;0,402920332982882;12177,3810823761;3116;16,16971842
BARBOSA;sim_25_nota;FALSE;4,26396399308715;0,83016403744028;0,170263886195026;3775,48796255289;6593;25,04326718
BARIRI;sim_25_nota;FALSE;3,58733438130153;0,189275953901627;0,0336368553776118;755,981311848507;31593;106,64892247
BARRA BONITA;sim_25_nota;FALSE;8,05557850281791;0,273050365370084;0,061095358606272;1789,76495548791;35246;131,85254472
BARRA DO CHAPEU;sim_25_nota;FALSE;6,87860649718732;2,46234466089208;0,409386233502825;6568,40189459181;5244;16,80224183
BARRA DO TURVO;sim_25_nota;FALSE;-4,89274285604735;-0,570749599396781;-0,137306650528753;-3037,60549361004;7729;35,63369172
BARRETOS;sim_25_nota;FALSE;-7,8386961921256;-0,132294832460615;-0,0141375898513828;-513,024953929247;112101;554,45774524
BARRINHA;sim_25_nota;FALSE;4,44705701943321;0,5477656960586;0,0529551687906496;899,994183491953;28496;83,97777065
BARUERI;sim_25_nota;FALSE;-48,2883134714998;-0,0846744167294096;-0,0164266005305191;-1184,03390739152;240749;2939,64130812
BASTOS;sim_25_nota;TRUE;7,04693720109272;0,376482629688332;0,101369951366114;2257,22186942773;20445;69,51702261
BATATAIS;sim_25_nota;FALSE;0,793265426372479;0,0235301058230857;0,00423162361296597;98,4997371039411;56476;187,46124394
BAURU;sim_25_nota;FALSE;-33,3410553258882;-0,217618395215072;-0,0295381777167564;-688,490240769522;343937;1128,74448944
BEBEDOURO;sim_25_nota;FALSE;-1,05622541550045;-0,0219435791036356;-0,0039002744352004;-98,4366191348885;75035;270,8079734
BENTO DE ABREU;sim_25_nota;TRUE;11,1907220188862;1,94860619489512;0,562634009939023;27228,444854609;2674;19,88987836
BERNARDINO DE CAMPOS;sim_25_nota;FALSE;5,45988637024354;0,824248911402897;0,155585226954003;3526,22124285323;10775;35,0925758
BERTIOGA;sim_25_nota;FALSE;-4,45774373041789;-0,212397808383088;-0,0108260684034888;-500,329557496917;47645;411,76016669
BILAC;sim_25_nota;FALSE;17,7866750115231;3,9919332927315;0,607187491745559;19548,0135895886;7048;29,29354648
BIRIGUI;sim_25_nota;FALSE;1,39250842583186;0,0284078846137206;0,00382995168607274;95,7194773936403;108728;363,58380992
BIRITIBA-MIRIM;sim_25_nota;FALSE;2,11855519264129;0,245969962962197;0,0298564029823846;415,351060066765;28575;70,95815239
BOA ESPERANCA DO SUL;sim_25_nota;FALSE;-2,68316957931205;-0,286969829941907;-0,0519818924935696;-1160,12524899157;13645;51,61738926
BOCAINA;sim_25_nota;FALSE;6,83429737876607;0,722891631069284;0,1604151958271;4124,29294673163;10859;42,60380286
BOFETE;sim_25_nota;FALSE;1,65326610888282;0,225791134898941;0,0416293956198237;1001,70699562617;9618;39,71391091
BOITUVA;sim_25_nota;FALSE;6,46625909105649;0,151349228260563;0,0308640708877158;864,029736164606;48314;209,50765421
BOM JESUS DOS PERDOES;sim_25_nota;FALSE;9,08533151518184;0,766681585973296;0,109127762197946;2719,74710273888;19708;83,25408065
BOM SUCESSO DE ITARARE;sim_25_nota;FALSE;8,84190911797912;3,60904973834954;0,497893229355126;11559,4382672053;3571;17,75864502
BORA;sim_25_nota;TRUE;3,64944953627137;1,25302702427892;0,254619123112027;37129,2193678063;805;14,33297504
BORACEIA;sim_25_nota;FALSE;6,31177874047963;0,940755703115267;0,255374285974932;9522,60784441702;4268;24,71579594
BORBOREMA;sim_25_nota;TRUE;5,40140572993674;0,468648585219194;0,102536803033136;2661,18257397615;14529;52,67772712
BOREBI;sim_25_nota;FALSE;9,63413318141787;2,34059121498206;0,496182398230737;24216,373806304;2293;19,41651541
BOTUCATU;sim_25_nota;FALSE;-9,36437041047322;-0,132512577411146;-0,0244952914357523;-501,672963356544;127328;382,29267184
BRAGANCA PAULISTA;sim_25_nota;FALSE;-12,066933444497;-0,160653139116295;-0,024195215131564;-561,305037199607;146744;498,73222366
BRAUNA;sim_25_nota;FALSE;7,60401902926481;2,3383855173516;0,350194475818325;11006,1275046908;5021;21,71370354
BREJO ALEGRE;sim_25_nota;FALSE;11,087837834657;1,6950498657722;0,502403663991481;26732,6518143099;2573;22,06957996
BRODOWSKI;sim_25_nota;FALSE;5,63855953339011;0,561922188327222;0,0698020433452583;1683,31244131049;21107;80,77929045
BROTAS;sim_25_nota;FALSE;5,09520754866954;0,233285850645281;0,0514268421588483;1527,2177021359;21580;99,07681154
BURI;sim_25_nota;FALSE;2,58307034278835;0,183299402537395;0,0350062705119365;705,279049528258;18563;73,78878998
BURITAMA;sim_25_nota;FALSE;12,8371944780326;0,866662341097068;0,170140128362135;6293,35506781817;15418;75,45071584
BURITIZAL;sim_25_nota;FALSE;6,10677585806916;0,70799267160368;0,217081537071513;11269,4823839718;4053;28,131254
CABRALIA PAULISTA;sim_25_nota;FALSE;6,29701095140652;1,8829770815331;0,371709748521333;8581,8809801433;4365;16,94066668
CABREUVA;sim_25_nota;FALSE;3,16045328044069;0,0377183695166475;0,014298618296546;426,770394868132;41604;221,03207561
CACAPAVA;sim_25_nota;FALSE;-0,227571776763305;-0,00446325887432752;-0,000900977875757032;-17,7120668787313;84752;252,58309098
CACHOEIRA PAULISTA;sim_25_nota;FALSE;-1,53336971695239;-0,17726950840996;-0,0164445579078331;-339,040266470567;30091;93,24481239
CACONDE;sim_25_nota;FALSE;7,15003907625525;0,785540247888934;0,135753465685686;2225,59929341974;18538;52,66929312
CAFELANDIA;sim_25_nota;FALSE;-0,443511599889643;-0,0316484519668618;-0,0066215819471252;-186,888065526359;16607;66,97970416
CAIABU;sim_25_nota;FALSE;7,35605886084378;2,44441946349865;0,412600215075608;12597,6133585074;4072;17,8285386
CAIEIRAS;sim_25_nota;FALSE;-1,07384360872858;-0,0204206677605299;-0,00349672182576885;-73,9583809830751;86529;307,1000961
CAIUA;sim_25_nota;FALSE;8,13942913055319;1,45613651212634;0,290362498089812;10089,2354197574;5039;28,03195724
CAJAMAR;sim_25_nota;FALSE;-3,14561726620514;-0,0217626522984908;-0,00643797057678046;-283,4366062139;64114;488,60385873
CAJATI;sim_25_nota;FALSE;4,05207914680028;0,151715740004557;0,0382592474289527;716,606378846525;28372;105,91110435
CAJOBI;sim_25_nota;FALSE;12,316538706205;2,6798823241693;0,359967877101418;9058,23930283508;9768;34,21566059
CAJURU;sim_25_nota;FALSE;2,43284674492366;0,183506306200871;0,033103866284231;640,201835730243;23371;73,49131742
CAMPINA DO MONTE ALEGRE;sim_25_nota;FALSE;6,327513711243;1,73546713240894;0,269138799283772;6494,92028149862;5567;23,51022494
CAMPINAS;sim_25_nota;FALSE;-141,25247119711;-0,195508477597934;-0,0292813521204338;-978,12746578537;1080113;4823,9736545
CAMPO LIMPO PAULISTA;sim_25_nota;FALSE;-0,832405445518003;-0,0284748268572322;-0,00390839960374978;-70,67600472942;74074;212,97859224
CAMPOS DO JORDAO;sim_25_nota;FALSE;0,945799222022789;0,0549090348811734;0,00558035550110418;115,737713751542;47789;169,48727045
CAMPOS NOVOS PAULISTA;sim_25_nota;FALSE;1,14042800836108;0,193909927644132;0,048870656555651;1468,44499223636;4539;23,33563919
CANANEIA;sim_25_nota;FALSE;2,18824530211029;0,284699713762728;0,0353110400608602;946,498836564244;12226;61,97057063
CANAS;sim_25_nota;FALSE;10,0152493716233;3,99362563465631;0,462535448458672;12632,6290496858;4385;21,65293364
CANDIDO MOTA;sim_25_nota;FALSE;3,93928535902802;0,167624800621978;0,0347999914026663;918,60078692851;29884;113,19788311
CANDIDO RODRIGUES;sim_25_nota;FALSE;11,5030274818742;5,03818409531659;0,616823823857439;36507,0242668913;2668;18,64880544
CANITAR;sim_25_nota;FALSE;9,49219269786327;3,72308767437428;0,462302696536882;10375,4710762434;4369;20,53241906
CAPAO BONITO;sim_25_nota;FALSE;0,269247069055051;0,0112188024767291;0,00191654929413107;31,9486856464356;46178;140,4853347
